2026-05-16 | [13]米内罗竞技 vs 米拉索[18] | 1-1 | 3-1
2026-05-16 | [3]弗鲁米嫩塞 vs 圣保罗[4] | 2-0 | 2-1
2026-05-16 | [1]帕尔梅拉斯 vs 克鲁塞罗[11] | 1-1 | 1-1
2026-05-17 | [15]桑托斯 vs 科里蒂巴[10] | 0-3 | 0-3
2026-05-17 | [6]巴伊亚 vs 格雷米奥[17] | 0-0 | 1-1
2026-05-17 | [14]博塔弗戈 vs 科林蒂安[16] | 2-1 | 3-1
2026-05-17 | [9]布拉干蒂诺RB vs 维多利亚[13] | 1-0 | 2-0
2026-05-17 | [20]沙佩科恩斯 vs 瑞模贝雷[19] | 1-1 | 2-3
2026-05-17 | [5]巴拉纳竞技 vs 弗拉门戈[2] | 1-0 | 1-1
2026-05-23 | [4]圣保罗 vs 博塔弗戈[9] | 1-0 | 1-1
2026-05-23 | [14]维多利亚 vs 巴西国际[11] | 1-0 | 2-0
2026-05-23 | [19]米拉索 vs 弗鲁米嫩塞[3] | 1-0 | 1-0
2026-05-23 | [15]格雷米奥 vs 桑托斯[16] | 1-1 | 3-2
2026-05-23 | [2]弗拉门戈 vs 帕尔梅拉斯[1] | 0-1 | 0-3
2026-05-24 | [19]瑞模贝雷 vs 巴拉纳竞技[5] | 1-1 | 1-2
2026-05-24 | [15]克鲁塞罗 vs 沙佩科恩斯[20] | 1-0 | 2-1
2026-05-24 | [16]科林蒂安 vs 米内罗竞技[11] | 0-0 | 1-0
2026-05-24 | [14]瓦斯科达伽马 vs 布拉干蒂诺RB[6] | 0-1 | 0-3
2026-05-25 | [7]科里蒂巴 vs 巴伊亚[8] | 0-1 | 3-2
2026-05-30 | [4]巴拉纳竞技 vs 米拉索[18] | 0-0 | 1-0
2026-05-30 | [2]弗拉门戈 vs 科里蒂巴[6] | 1-0 | 3-0
2026-05-30 | [14]格雷米奥 vs 科林蒂安[15] | 1-1 | 1-3
2026-05-30 | [8]巴伊亚 vs 博塔弗戈[10] | 0-1 | 2-1
2026-05-30 | [17]桑托斯 vs 维多利亚[11] | 1-0 | 3-1
2026-05-31 | [1]帕尔梅拉斯 vs 沙佩科恩斯[20] | 0-0 | 1-0
2026-05-31 | [17]瓦斯科达伽马 vs 米内罗竞技[13] | 0-1 | 0-1
2026-05-31 | [19]瑞模贝雷 vs 圣保罗[8] | 0-0 | 1-0
2026-05-31 | [10]克鲁塞罗 vs 弗鲁米嫩塞[4] | 0-1 | 1-1
2026-05-31 | [5]布拉干蒂诺RB vs 巴西国际[14] | 2-0 | 3-1
2026-07-16 | [13]维多利亚 vs 瓦斯科达伽马[17] | 0-0 | 1-0
2026-07-16 | [12]博塔弗戈 vs 桑托斯[15] | 1-0 | 2-1
2026-07-17 | [6]巴伊亚 vs 沙佩科恩斯[20] | 2-0 | 2-0
2026-07-17 | [19]米拉索 vs 格雷米奥[15] | 2-0 | 2-1
2026-07-17 | [3]弗鲁米嫩塞 vs 布拉干蒂诺RB[5] | 0-1 | 1-1
2026-07-21 | [11]米内罗竞技 vs 巴伊亚[6] | 1-0 | 1-1
2026-07-22 | [7]科里蒂巴 vs 帕尔梅拉斯[1] | 0-2 | 1-3
2026-07-22 | [14]巴西国际 vs 克鲁塞罗[13] | 0-1 | 1-2
2026-07-22 | [8]圣保罗 vs 巴拉纳竞技[5] | 1-0 | 1-2
2026-07-22 | [20]沙佩科恩斯 vs 弗拉门戈[2] | 0-2 | 0-4
2026-07-23 | [13]科林蒂安 vs 瑞模贝雷[19] | 3-0 | 3-0
2026-07-23 | [10]博塔弗戈 vs 维多利亚[12] | 0-0 | 0-0
2026-07-25 | [3]巴拉纳竞技 vs 巴西国际[14] | 1-0 | 2-0
2026-07-25 | [15]桑托斯 vs 沙佩科恩斯[20] | 1-0 | 2-2
2026-07-25 | [17]瓦斯科达伽马 vs 米拉索[18] | 0-1 | 1-1
2026-07-26 | [6]巴伊亚 vs 科林蒂安[7] | 1-1 | 1-1
2026-07-26 | [8]克鲁塞罗 vs 博塔弗戈[9] | 0-1 | 0-1
2026-07-26 | [16]格雷米奥 vs 弗鲁米嫩塞[4] | 0-0 | 1-1
2026-07-26 | [2]弗拉门戈 vs 圣保罗[12] | 0-0 | 1-1
2026-07-26 | [5]布拉干蒂诺RB vs 科里蒂巴[10] | 0-0 | 0-0
2026-07-26 | [19]瑞模贝雷 vs 维多利亚[11] | 1-0 | 2-0
2026-07-26 | [1]帕尔梅拉斯 vs 米内罗竞技[13] | 0-0 | 1-2
