日期 | 联赛 | 编号 | 主队 vs 客队 | 半场 | 全场 | 状态
2026-07-17 | 美国职业大联盟 | 周四207 | 蒙特利尔 vs 多伦多 | 0:0 | 0:0 | Payout
2026-07-17 | 巴西甲级联赛 | 周四206 | 维多利亚 vs 达伽马 | 0:0 | 1:0 | Payout
2026-07-17 | 巴西甲级联赛 | 周四205 | 博塔弗戈 vs 桑托斯 | 1:0 | 2:1 | Payout
2026-07-17 | 欧罗巴联赛 | 周四204 | 日利纳 vs 斯海杜克 | 0:1 | 2:1 | Payout
2026-07-17 | 欧罗巴联赛 | 周四203 | 费伦茨 vs 伏伊伏丁 | 2:0 | 3:0 | Payout
2026-07-17 | 欧罗巴联赛 | 周四202 | 德里城 vs 索陆军 | 0:0 | 1:2 | Payout
2026-07-17 | 挪威超级联赛 | 周四201 | 瓦勒伦加 vs 奥勒松 | 3:0 | 6:1 | Payout
2026-07-16 | 欧洲冠军联赛 | 周三202 | 苏捷斯卡 vs 阿拉木图 | 0:0 | 0:2 | Payout
2026-07-16 | 欧洲冠军联赛 | 周三201 | 比森 vs 克拉克斯 | 1:1 | 1:2 | Payout
2026-07-16 | 世界杯 | 周三102 | 英格兰 vs 阿根廷 | 0:0 | 1:2 | Payout
2026-07-15 | 欧洲冠军联赛 | 周二202 | 新圣徒 vs 萨巴赫 | 0:2 | 1:2 | Payout
2026-07-15 | 欧洲冠军联赛 | 周二201 | 杰尔 vs 雷克维京 | 2:1 | 2:2 | Payout
2026-07-15 | 世界杯 | 周二101 | 法国 vs 西班牙 | 0:1 | 0:2 | Payout
