2026-05-29 | [16]奥尔格里特 vs 埃尔夫斯堡[4] | 0-1 | 2-2
2026-05-30 | [9]索尔纳 vs 天狼星[1] | 0-2 | 0-3
2026-05-30 | [8]哥德堡盖斯 vs 卡尔马[11] | 1-0 | 3-0
2026-05-30 | [12]马尔默 vs 哈尔姆斯塔德[15] | 2-2 | 5-2
2026-05-31 | [13]代格福什 vs 布洛马波卡纳[7] | 0-1 | 2-2
2026-05-31 | [4]赫根 vs 哈马比[3] | 0-2 | 3-2
2026-05-31 | [10]瓦斯特拉斯 vs 哥德堡[14] | 2-4 | 4-5
2026-07-03 | [1]天狼星 vs 米亚尔比[6] | 1-0 | 4-4
2026-07-04 | [15]哈尔姆斯塔德 vs 瓦斯特拉斯[11] | 1-2 | 1-3
2026-07-04 | [12]代格福什 vs 马尔默[9] | 0-0 | 0-1
2026-07-05 | [14]哥德堡 vs 索尔纳[11] | 1-1 | 1-2
2026-07-05 | [12]卡尔马 vs 奥尔格里特[16] | 1-0 | 3-0
2026-07-05 | [3]埃尔夫斯堡 vs 哈马比[4] | 0-0 | 1-2
2026-07-06 | [8]布洛马波卡纳 vs 哥德堡盖斯[7] | 1-1 | 1-1
2026-07-06 | [3]赫根 vs 尤尔加登[11] | 1-2 | 2-4
2026-07-11 | [7]米亚尔比 vs 索尔纳[11] | 0-0 | 1-2
2026-07-11 | [16]奥尔格里特 vs 赫根[3] | 1-2 | 4-3
2026-07-12 | [2]哈马比 vs 卡尔马[12] | 1-0 | 2-0
2026-07-12 | [9]马尔默 vs 哥德堡[14] | 3-0 | 4-0
2026-07-12 | [11]瓦斯特拉斯 vs 代格福什[13] | 1-0 | 2-0
2026-07-12 | [10]布洛马波卡纳 vs 天狼星[1] | 0-2 | 1-2
2026-07-12 | [7]哥德堡盖斯 vs 埃尔夫斯堡[4] | 0-0 | 1-0
2026-07-13 | [9]尤尔加登 vs 哈尔姆斯塔德[16] | 2-0 | 3-0
2026-07-17 | [10]米亚尔比 vs 瓦斯特拉斯[8] | 0-0 | 0-0
2026-07-17 | [14]哥德堡 vs 布洛马波卡纳[11] | 0-0 | 2-1
2026-07-18 | [9]索尔纳 vs 哥德堡盖斯[5] | 0-0 | 2-0
2026-07-19 | [2]哈马比 vs 代格福什[14] | 1-0 | 4-0
2026-07-19 | [9]埃尔夫斯堡 vs 天狼星[1] | 0-0 | 1-3
2026-07-19 | [16]哈尔姆斯塔德 vs 赫根[4] | 0-0 | 0-2
2026-07-20 | [12]卡尔马 vs 马尔默[6] | 2-1 | 2-2
2026-07-20 | [15]奥尔格里特 vs 尤尔加登[5] | 0-0 | 0-0
2026-07-24 | [8]瓦斯特拉斯 vs 奥尔格里特[15] | 1-0 | 2-0
2026-07-25 | [14]代格福什 vs 尤尔加登[6] | 0-1 | 0-1
2026-07-25 | [12]卡尔马 vs 米亚尔比[10] | 1-1 | 2-1
2026-07-26 | [12]布洛马波卡纳 vs 哈马比[2] | 0-0 | 1-1
2026-07-26 | [1]天狼星 vs 哥德堡[13] | 2-1 | 4-1
2026-07-26 | [7]马尔默 vs 埃尔夫斯堡[9] | 1-2 | 1-2
2026-07-26 | [8]哥德堡盖斯 vs 哈尔姆斯塔德[16] | 0-0 | 1-1
2026-07-27 | [4]赫根 vs 索尔纳[7] | 0-0 | 0-0
