2026-03-22 | [东11]辛辛那提 vs CF蒙特利尔[东12] | 1-2 | 4-3
2026-03-22 | [东2]纽约城 vs 迈阿密国际[东5] | 1-1 | 2-3
2026-03-22 | [西14]明尼苏达联 vs 西雅图海湾人[西6] | 0-0 | 0-0
2026-03-22 | [西15]波特兰伐木者 vs 洛杉矶银河[西11] | 1-1 | 1-1
2026-03-22 | [西4]圣地亚哥 vs 皇家盐湖城[西7] | 1-1 | 2-2
2026-04-04 | [东7]多伦多FC vs 科罗拉多急流[西7] | 0-0 | 3-2
2026-04-04 | [西6]皇家盐湖城 vs 堪萨斯城竞技[西15] | 1-0 | 3-1
2026-04-04 | [东11]新英格兰革命 vs CF蒙特利尔[东12] | 1-0 | 3-0
2026-04-04 | [东4]夏洛特FC vs 费城联合[东15] | 1-0 | 2-1
2026-04-04 | [东2]纽约城 vs 圣路易斯城[西13] | 0-0 | 1-1
2026-04-04 | [东6]华盛顿联 vs 达拉斯FC[西8] | 0-2 | 0-4
2026-04-04 | [东10]亚特兰大联 vs 哥伦布机员[东14] | 0-0 | 1-3
2026-04-04 | [东8]纽约红牛 vs 辛辛那提[东9] | 1-1 | 4-2
2026-04-04 | [东3]迈阿密国际 vs 奥斯汀FC[西11] | 1-1 | 2-2
2026-04-04 | [东6]芝加哥火焰 vs 纳什威尔SC[东1] | 1-0 | 1-0
2026-04-04 | [西9]休斯敦迪纳摩 vs 西雅图海湾人[西6] | 0-0 | 0-1
2026-04-04 | [西1]洛杉矶FC vs 奥兰多城[东13] | 5-0 | 6-0
2026-04-05 | [西3]温哥华白浪 vs 波特兰伐木者[西14] | 1-2 | 3-2
2026-04-05 | [西10]洛杉矶银河 vs 明尼苏达联[西12] | 0-0 | 1-2
2026-04-05 | [西4]圣何塞地震 vs 圣地亚哥[西5] | 3-0 | 3-0
2026-04-11 | [东6]多伦多FC vs 辛辛那提[东10] | 0-0 | 1-1
2026-04-11 | [东13]CF蒙特利尔 vs 费城联合[东15] | 1-0 | 1-2
2026-04-11 | [西11]奥斯汀FC vs 洛杉矶银河[西12] | 0-1 | 1-2
2026-04-11 | [西14]波特兰伐木者 vs 洛杉矶FC[西1] | 1-0 | 2-1
2026-04-11 | [东9]新英格兰革命 vs 华盛顿联[东8] | 1-0 | 1-0
2026-04-11 | [东4]迈阿密国际 vs 纽约红牛[东7] | 1-1 | 2-2
2026-04-11 | [东3]夏洛特FC vs 纳什威尔SC[东1] | 0-1 | 1-2
2026-04-11 | [西2]温哥华白浪 vs 纽约城[东2] | 1-0 | 2-0
2026-04-11 | [西6]达拉斯FC vs 圣路易斯城[西14] | 0-0 | 1-1
2026-04-11 | [东6]芝加哥火焰 vs 亚特兰大联[东12] | 1-0 | 1-0
2026-04-11 | [西15]堪萨斯城竞技 vs 圣何塞地震[西3] | 1-1 | 1-3
2026-04-11 | [西8]科罗拉多急流 vs 休斯敦迪纳摩[西12] | 2-0 | 6-2
2026-04-12 | [西7]圣地亚哥 vs 明尼苏达联[西10] | 1-2 | 1-2
2026-04-12 | [东11]哥伦布机员 vs 奥兰多城[东15] | 0-1 | 1-1
2026-04-18 | [西1]温哥华白浪 vs 堪萨斯城竞技[西15] | 3-0 | 3-0
2026-04-18 | [东6]多伦多FC vs 奥斯汀FC[西13] | 0-1 | 3-3
2026-04-18 | [东15]CF蒙特利尔 vs 纽约红牛[东7] | 2-0 | 4-1
2026-04-18 | [西6]科罗拉多急流 vs 迈阿密国际[东3] | 0-2 | 2-3
2026-04-18 | [东14]费城联合 vs 华盛顿联[东9] | 0-0 | 0-0
2026-04-18 | [东13]奥兰多城 vs 休斯敦迪纳摩[西12] | 0-0 | 0-1
2026-04-18 | [东10]辛辛那提 vs 芝加哥火焰[东2] | 1-2 | 3-3
2026-04-18 | [东4]纽约城 vs 夏洛特FC[东5] | 0-0 | 1-2
2026-04-18 | [东8]新英格兰革命 vs 哥伦布机员[东11] | 0-1 | 2-1
2026-04-18 | [东12]亚特兰大联 vs 纳什威尔SC[东1] | 0-0 | 0-2
2026-04-18 | [西7]达拉斯FC vs 洛杉矶银河[西10] | 2-2 | 2-2
2026-04-18 | [西9]明尼苏达联 vs 波特兰伐木者[西11] | 1-0 | 2-0
2026-04-18 | [西5]西雅图海湾人 vs 圣路易斯城[西14] | 2-0 | 4-1
2026-04-18 | [西4]皇家盐湖城 vs 圣地亚哥[西8] | 4-1 | 4-2
2026-04-19 | [西3]洛杉矶FC vs 圣何塞地震[西2] | 0-0 | 1-4
2026-04-22 | [东7]纽约城 vs 辛辛那提[东10] | 2-1 | 4-4
2026-04-22 | [东8]纽约红牛 vs 华盛顿联[东9] | 2-1 | 4-4
2026-04-22 | [东6]多伦多FC vs 费城联合[东13] | 0-1 | 3-3
2026-04-22 | [东15]奥兰多城 vs 夏洛特FC[东3] | 1-1 | 4-1
2026-04-22 | [东14]亚特兰大联 vs 新英格兰革命[东5] | 1-0 | 1-2
2026-04-22 | [西7]达拉斯FC vs 明尼苏达联[西6] | 0-1 | 0-1
