2026-05-29 | [13]瓦勒伦加 vs 克里斯蒂安松[11] | 1-0 | 3-1
2026-05-30 | [6]莫尔德 vs 桑德菲杰[7] | 1-0 | 2-1
2026-07-11 | [10]腓特烈斯塔 vs 利勒斯特罗姆[4] | 0-0 | 0-2
2026-07-11 | [13]奥勒松 vs 莫尔德[5] | 1-2 | 2-2
2026-07-11 | [2]特罗姆瑟 vs 瓦勒伦加[9] | 3-0 | 4-0
2026-07-12 | [13]KFUM奥斯陆 vs 博德闪耀[3] | 0-1 | 0-2
2026-07-12 | [11]布兰 vs 斯达[16] | 0-0 | 2-1
2026-07-12 | [8]桑德菲杰 vs 汉坎[6] | 1-0 | 2-2
2026-07-12 | [15]罗森博格 vs 克里斯蒂安松[14] | 2-0 | 3-0
2026-07-12 | [7]萨普斯堡 vs 维京[2] | 1-0 | 1-0
2026-07-16 | [11]瓦勒伦加 vs 奥勒松[12] | 3-0 | 6-1
2026-07-17 | [3]博德闪耀 vs 腓特烈斯塔[11] | 1-0 | 1-0
2026-07-18 | [6]汉坎 vs 特罗姆瑟[2] | 0-1 | 1-4
2026-07-18 | [4]利勒斯特罗姆 vs KFUM奥斯陆[13] | 1-1 | 2-1
2026-07-18 | [16]斯达 vs 罗森博格[12] | 0-1 | 0-3
2026-07-18 | [15]克里斯蒂安松 vs 萨普斯堡[7] | 0-0 | 0-0
2026-07-18 | [5]莫尔德 vs 布兰[9] | 0-2 | 1-2
2026-07-18 | [3]维京 vs 桑德菲杰[10] | 1-0 | 2-1
2026-07-22 | [3]博德闪耀 vs 汉坎[7] | 1-0 | 3-0
2026-07-22 | [4]利勒斯特罗姆 vs 维京[2] | 0-1 | 1-2
2026-07-25 | [15]克里斯蒂安松 vs 斯达[16] | 1-1 | 1-2
2026-07-26 | [6]布兰 vs 瓦勒伦加[9] | 0-3 | 2-3
2026-07-26 | [7]萨普斯堡 vs 汉坎[8] | 1-0 | 1-0
2026-07-26 | [11]桑德菲杰 vs 博德闪耀[2] | 0-1 | 0-3
2026-07-26 | [13]KFUM奥斯陆 vs 莫尔德[5] | 1-1 | 2-4
2026-07-26 | [14]奥勒松 vs 维京[1] | 0-1 | 1-1
2026-07-27 | [10]罗森博格 vs 腓特烈斯塔[12] | 2-0 | 4-0
