2026-06-23 | [12]玛丽港 vs 赫尔辛基[4] | 0-1 | 0-4
2026-06-27 | [8]埃尔维斯 vs 塞伊奈约基[10] | 0-0 | 2-2
2026-06-27 | [4]赫尔辛基 vs 古比斯[2] | 0-1 | 0-4
2026-06-27 | [12]玛丽港 vs 图尔库国际[1] | 0-1 | 0-2
2026-06-27 | [6]格尼斯坦 vs VPS瓦萨[5] | 1-1 | 1-1
2026-06-27 | [7]TPS土尔库 vs 雅罗[11] | 1-2 | 3-2
2026-06-27 | [3]奥卢 vs 拉赫蒂[9] | 0-0 | 1-1
2026-07-04 | [9]拉赫蒂 vs 格尼斯坦[6] | 0-0 | 1-0
2026-07-04 | [11]雅罗 vs 埃尔维斯[8] | 2-0 | 2-1
2026-07-04 | [10]塞伊奈约基 vs TPS土尔库[7] | 1-0 | 3-1
2026-07-04 | [5]VPS瓦萨 vs 玛丽港[12] | 2-0 | 4-0
2026-07-10 | [4]VPS瓦萨 vs 塞伊奈约基[10] | 0-0 | 1-0
2026-07-11 | [8]拉赫蒂 vs 赫尔辛基[5] | 1-0 | 2-0
2026-07-11 | [7]TPS土尔库 vs 奥卢[4] | 3-0 | 3-0
2026-07-11 | [6]格尼斯坦 vs 玛丽港[12] | 1-0 | 4-2
2026-07-18 | [5]赫尔辛基 vs VPS瓦萨[3] | 1-0 | 2-1
2026-07-18 | [10]塞伊奈约基 vs 古比斯[1] | 0-2 | 0-2
2026-07-18 | [4]奥卢 vs 格尼斯坦[6] | 0-1 | 0-2
2026-07-19 | [11]雅罗 vs 图尔库国际[2] | 0-0 | 0-0
2026-07-20 | [7]TPS土尔库 vs 埃尔维斯[9] | 1-2 | 1-3
2026-07-20 | [12]玛丽港 vs 拉赫蒂[8] | 0-1 | 0-2
2026-07-24 | [11]雅罗 vs 塞伊奈约基[10] | 1-0 | 2-1
2026-07-25 | [12]玛丽港 vs 奥卢[4] | 1-0 | 1-1
2026-07-25 | [1]古比斯 vs VPS瓦萨[3] | 3-0 | 3-1
2026-07-26 | [2]图尔库国际 vs 格尼斯坦[6] | 0-2 | 1-2
2026-07-26 | [9]埃尔维斯 vs 拉赫蒂[7] | 1-0 | 1-0
2026-07-26 | [5]赫尔辛基 vs TPS土尔库[8] | 1-0 | 1-0
