日期 | 联赛 | 编号 | 主队 vs 客队 | 半场 | 全场 | 状态
2026-08-14 | 日本职业联赛 | 周五001 | 东京绿茵 vs 柏太阳神 | 1:1 | 1:3 | Payout
2026-08-14 | 南美解放者杯 | 周四010 | 罗萨里奥 vs 科林蒂安 | 0:0 | 0:0 | Payout
2026-08-14 | 南美解放者杯 | 周四009 | 米拉索尔 vs 基多体大 | 1:0 | 1:1 | Payout
2026-08-14 | 欧罗巴联赛 | 周四008 | 哈茨 vs 本菲卡 | 0:0 | 1:1 | Payout
2026-08-14 | 欧罗巴联赛 | 周四007 | 安德莱 vs 塞萨洛 | 1:1 | 3:2 | Payout
2026-08-14 | 欧罗巴联赛 | 周四006 | 流浪者 vs 比亚韦 | 1:0 | 1:1 | Payout
2026-08-14 | 沙特职业联赛 | 周四005 | 利雅青年 vs 胡巴卡德 | 1:1 | 1:3 | Payout
2026-08-14 | 欧罗巴联赛 | 周四004 | 雷克维京 vs 图恩 | 2:2 | 3:2 | Payout
2026-08-14 | 欧罗巴联赛 | 周四003 | 帕福斯 vs 萨尔茨堡 | 2:0 | 3:3 | Payout
2026-08-14 | 欧罗巴联赛 | 周四002 | 克拉约瓦 vs 库奥皮奥 | 1:1 | 2:1 | Payout
2026-08-14 | 沙特职业联赛 | 周四001 | 艾卜哈 vs 拉斯决心 | 0:2 | 1:2 | Payout
2026-08-13 | 南美解放者杯 | 周三003 | 帕梅拉斯 vs 波特诺 | 0:0 | 1:1 | Payout
2026-08-13 | 南美解放者杯 | 周三002 | 普拉滕斯 vs 科金博联 | 1:0 | 1:1 | Payout
2026-08-13 | 欧洲超级杯 | 周三001 | 巴黎圣曼 vs 维拉 | 1:1 | 2:1 | Payout
2026-08-12 | 南美解放者杯 | 周二010 | 弗鲁米嫩 vs 里独立 | 0:0 | 0:0 | Payout
2026-08-12 | 欧洲冠军联赛 | 周二009 | 里昂 vs 布斯巴达 | 1:0 | 3:0 | Payout
2026-08-12 | 欧洲冠军联赛 | 周二008 | 格风暴 vs 费内巴切 | 0:0 | 0:1 | Payout
2026-08-12 | 欧洲冠军联赛 | 周二007 | 布拉迪斯 vs 米亚尔比 | 0:0 | 2:0 | Payout
2026-08-12 | 欧洲冠军联赛 | 周二006 | 采列 vs 亚拉腊 | 0:0 | 2:0 | Payout
2026-08-12 | 欧洲冠军联赛 | 周二005 | 奈梅亨 vs 奥林匹亚 | 0:0 | 1:1 | Payout
2026-08-12 | 欧洲冠军联赛 | 周二004 | 萨巴赫 vs 奥胡斯 | 0:0 | 4:0 | Payout
2026-08-12 | 欧洲冠军联赛 | 周二003 | 博德闪耀 vs 圣吉联合 | 0:0 | 2:2 | Payout
2026-08-11 | 欧洲冠军联赛 | 周二002 | 阿拉木图 vs 索列夫 | 0:1 | 0:1 | Payout
2026-08-11 | 亚洲冠军精英联赛 | 周二001 | 江原FC vs 大阪钢巴 | 0:0 | 0:0 | Payout
2026-08-11 | 葡萄牙超级联赛 | 周一003 | 圣克拉拉 vs 葡国民 | 2:2 | 2:2 | Payout
2026-08-11 | 瑞典超级联赛 | 周一002 | 韦斯特罗 vs 佐加顿斯 | 1:0 | 1:0 | Payout
2026-08-11 | 瑞典超级联赛 | 周一001 | 天狼星 vs 布鲁马波 | 2:2 | 2:2 | Payout
2026-08-10 | 巴西甲级联赛 | 周日024 | 弗拉门戈 vs 维多利亚 | 1:0 | 2:0 | Payout
2026-08-10 | 巴西甲级联赛 | 周日023 | 桑托斯 vs 巴竞技 | 0:2 | 0:2 | Payout
2026-08-10 | 葡萄牙超级联赛 | 周日022 | 摩雷伦斯 vs 布拉加 | 1:1 | 2:2 | Payout
2026-08-10 | 葡萄牙超级联赛 | 周日021 | 吉维森特 vs 里奥阿维 | 0:0 | 1:0 | Payout
2026-08-10 | 葡萄牙超级联赛 | 周日020 | 本菲卡 vs 维塞乌 | 1:0 | 2:2 | 
2026-08-10 | 挪威超级联赛 | 周日019 | 克里斯蒂 vs 莫尔德 | 1:0 | 2:1 | Payout
2026-08-10 | 葡萄牙超级联赛 | 周日018 | 波尔图 vs 阿尔维卡 | 2:0 | 2:0 | 
2026-08-10 | 芬兰超级联赛 | 周日017 | AC奥卢 vs 赫尔辛基 | 0:1 | 0:1 | Payout
2026-08-09 | 挪威超级联赛 | 周日016 | 汉坎 vs 奥勒松 | 0:1 | 1:1 | Payout
2026-08-09 | 荷兰甲级联赛 | 周日015 | 海伦芬 vs 特温特 | 0:0 | 1:0 | Payout
2026-08-09 | 瑞典超级联赛 | 周日014 | 哥德堡 vs 卡尔马 | 1:1 | 3:2 | Payout
2026-08-09 | 瑞典超级联赛 | 周日013 | 哈尔姆斯 vs 盖斯 | 0:0 | 0:2 | Payout
2026-08-09 | 芬兰超级联赛 | 周日012 | 国际图尔 vs 拉赫蒂 | 0:0 | 0:0 | Payout
2026-08-09 | 挪威超级联赛 | 周日011 | 利勒斯特 vs 罗森博格 | 0:1 | 0:2 | Payout
2026-08-09 | 荷兰甲级联赛 | 周日010 | 格罗宁根 vs 乌德勒支 | 1:0 | 2:1 | Payout
2026-08-09 | 荷兰甲级联赛 | 周日009 | 兹沃勒 vs 阿贾克斯 | 0:0 | 0:2 | Payout
2026-08-09 | 芬兰超级联赛 | 周日008 | 库奥皮奥 vs TPS图尔 | 1:0 | 1:1 | Payout
2026-08-09 | 瑞典超级联赛 | 周日007 | 哈马比 vs 赫根 | 2:0 | 3:0 | Payout
2026-08-09 | 德国乙级联赛 | 周日006 | 纽伦堡 vs 德累斯顿 | 2:0 | 3:0 | Payout
2026-08-09 | 德国乙级联赛 | 周日005 | 圣保利 vs 菲尔特 | 0:0 | 1:1 | Payout
2026-08-09 | 荷兰甲级联赛 | 周日004 | 鹿斯巴达 vs 费耶诺德 | 0:1 | 0:1 | Payout
2026-08-09 | 日本乙级联赛 | 周日003 | 山形山神 vs 枥木城 | 1:0 | 2:0 | Payout
2026-08-09 | 日本职业联赛 | 周日002 | 长崎航海 vs 京都 | 2:0 | 2:1 | Payout
2026-08-09 | 日本职业联赛 | 周日001 | 东京绿茵 vs 川崎前锋 | 0:0 | 1:1 | Payout
2026-08-09 | 巴西甲级联赛 | 周六025 | 博塔弗戈 vs 弗鲁米嫩 | 1:0 | 1:1 | Payout
2026-08-09 | 葡萄牙超级联赛 | 周六024 | 阿马多拉 vs 里斯本 | 0:0 | 2:2 | 
2026-08-09 | 巴西甲级联赛 | 周六023 | 格雷米奥 vs 圣保罗 | 0:1 | 2:1 | Payout
2026-08-09 | 荷兰甲级联赛 | 周六022 | 阿尔克马 vs 海牙 | 0:0 | 2:0 | Payout
2026-08-09 | 法国乙级联赛 | 周六021 | 南特 vs 圣旺红星 | 0:0 | 0:1 | Payout
2026-08-09 | 法国乙级联赛 | 周六020 | 蒙彼利埃 vs 第戎 | 0:0 | 1:1 | Payout
2026-08-09 | 法国乙级联赛 | 周六019 | 波城FC vs 阿纳西 | 0:1 | 0:1 | Payout
2026-08-09 | 荷兰甲级联赛 | 周六018 | 埃因霍温 vs 福图纳 | 0:1 | 2:2 | 
2026-08-09 | 葡萄牙超级联赛 | 周六017 | 吉马良斯 vs 阿罗卡 | 0:0 | 0:1 | Payout
2026-08-09 | 荷兰甲级联赛 | 周六016 | 前进之鹰 vs 威廉二世 | 1:1 | 4:1 | Payout
2026-08-09 | 芬兰超级联赛 | 周六015 | 雅罗 vs 瓦萨 | 1:2 | 1:3 | Payout
2026-08-08 | 瑞典超级联赛 | 周六014 | 米亚尔比 vs 埃夫斯堡 | 0:1 | 0:1 | Payout
2026-08-08 | 葡萄牙超级联赛 | 周六013 | 马里迪莫 vs 卡萨皮亚 | 0:0 | 1:0 | Payout
2026-08-08 | 荷兰甲级联赛 | 周六012 | 奈梅亨 vs 特尔斯达 | 0:2 | 1:2 | Payout
2026-08-08 | 挪威超级联赛 | 周六011 | 维京 vs 萨普斯堡 | 1:0 | 2:1 | Payout
2026-08-08 | 英格兰联赛杯 | 周六010 | 斯旺西 vs 伯明翰 | 0:1 | 0:1 | Payout
2026-08-08 | 英格兰联赛杯 | 周六009 | 西汉姆联 vs 朴次茅斯 | 2:1 | 3:1 | Payout
2026-08-08 | 瑞典超级联赛 | 周六008 | 厄格里特 vs 索尔纳 | 2:1 | 3:4 | Payout
2026-08-08 | 英格兰联赛杯 | 周六007 | 女王巡游 vs 米尔沃尔 | 0:0 | 1:1 | Payout
2026-08-08 | 挪威超级联赛 | 周六006 | 瓦勒伦加 vs 博德闪耀 | 0:1 | 1:2 | Payout
2026-08-08 | 韩国职业联赛 | 周六005 | 金泉尚武 vs 首尔FC | 0:0 | 0:0 | Payout
2026-08-08 | 韩国职业联赛 | 周六004 | 全北现代 vs 济州SK | 0:1 | 1:3 | Payout
2026-08-08 | 韩国职业联赛 | 周六003 | 安养FC vs 大田市民 | 0:2 | 1:2 | Payout
2026-08-08 | 日本乙级联赛 | 周六002 | 大宫松鼠 vs 新潟天鹅 | 1:0 | 1:0 | Payout
2026-08-08 | 日本职业联赛 | 周六001 | 大阪樱花 vs 冈山绿雉 | 2:1 | 2:1 | Payout
2026-08-08 | 葡萄牙超级联赛 | 周五010 | 埃斯托里 vs 法马利康 | 0:1 | 1:1 | Payout
2026-08-08 | 英格兰联赛杯 | 周五009 | 米堡 vs 雷克斯 | 0:0 | 1:0 | Payout
2026-08-08 | 德国乙级联赛 | 周五008 | 波鸿 vs 柏林赫塔 | 0:1 | 0:1 | Payout
2026-08-08 | 荷兰乙级联赛 | 周五007 | 埃门 vs 罗达JC | 0:0 | 1:0 | Payout
2026-08-08 | 荷兰乙级联赛 | 周五006 | 奥斯 vs 布雷达 | 1:0 | 1:2 | Payout
2026-08-08 | 荷兰甲级联赛 | 周五005 | 坎布尔 vs SBV精英 | 0:3 | 0:4 | Payout
2026-08-08 | 挪威超级联赛 | 周五004 | 桑纳菲 vs 奥斯KFUM | 0:1 | 0:1 | Payout
2026-08-08 | 芬兰超级联赛 | 周五003 | 塞伊奈 vs 赫尔火花 | 1:2 | 2:2 | Payout
2026-08-07 | 日本职业联赛 | 周五002 | 大阪钢巴 vs 浦和红钻 | 2:1 | 4:3 | Payout
2026-08-07 | 日本职业联赛 | 周五001 | 横滨水手 vs 鹿岛鹿角 | 2:1 | 3:4 | Payout
2026-08-07 | 欧罗巴联赛 | 周四005 | 本菲卡 vs 哈茨 | 3:0 | 6:1 | 
2026-08-07 | 欧罗巴联赛 | 周四004 | 塞萨洛 vs 安德莱 | 0:1 | 0:1 | Payout
2026-08-07 | 欧罗巴联赛 | 周四003 | 比亚韦 vs 流浪者 | 2:1 | 2:1 | Payout
2026-08-07 | 巴西杯 | 周四001 | 维多利亚 vs 巴竞技 | 2:0 | 4:0 | Payout
2026-08-06 | 欧罗巴联赛 | 周四002 | 库奥皮奥 vs 克拉约瓦 | 0:1 | 1:1 | Payout
2026-08-06 | 欧洲冠军联赛 | 周三003 | 费内巴切 vs 格风暴 | 2:0 | 2:0 | Payout
2026-08-06 | 欧洲冠军联赛 | 周三002 | 奥胡斯 vs 萨巴赫 | 1:0 | 2:1 | Payout
2026-08-06 | 巴西杯 | 周三001 | 弗鲁米嫩 vs 达伽马 | 0:1 | 1:3 | Payout
2026-08-05 | 欧洲冠军联赛 | 周二005 | 布斯巴达 vs 里昂 | 0:1 | 2:1 | Payout
2026-08-05 | 欧洲冠军联赛 | 周二004 | 圣吉联合 vs 博德闪耀 | 2:2 | 3:3 | Payout
2026-08-05 | 欧洲冠军联赛 | 周二003 | 奥林匹亚 vs 奈梅亨 | 0:0 | 0:0 | Payout
2026-08-05 | 欧洲冠军联赛 | 周二002 | 米亚尔比 vs 布拉迪斯 | 0:0 | 1:2 | Payout
2026-08-05 | 巴西杯 | 周二001 | 里莫 vs 桑托斯 | 0:0 | 0:1 | Payout
2026-08-04 | 巴西杯 | 周一004 | 巴竞技 vs 维多利亚 | 1:0 | 2:0 | Payout
2026-08-04 | 瑞典超级联赛 | 周一003 | 佐加顿斯 vs 韦斯特罗 | 3:0 | 6:0 | Payout
2026-08-04 | 瑞典超级联赛 | 周一002 | 哈尔姆斯 vs 天狼星 | 0:2 | 0:2 | Payout
2026-08-04 | 芬兰超级联赛 | 周一001 | 塞伊奈 vs 赫尔辛基 | 0:0 | 3:0 | Payout
2026-08-03 | 巴西杯 | 周日014 | 巴西国际 vs 科林蒂安 | 0:0 | 2:0 | Payout
2026-08-03 | 巴西杯 | 周日013 | 米拉索尔 vs 格雷米奥 | 1:0 | 1:1 | Payout
2026-08-03 | 挪威超级联赛 | 周日012 | 布兰 vs 罗森博格 | 1:0 | 3:2 | Payout
2026-08-02 | 挪威超级联赛 | 周日011 | 奥勒松 vs 特罗姆瑟 | 1:1 | 2:6 | Payout
2026-08-02 | 挪威超级联赛 | 周日010 | 莫尔德 vs 萨普斯堡 | 1:1 | 3:3 | Payout
2026-08-02 | 挪威超级联赛 | 周日009 | 奥斯KFUM vs 克里斯蒂 | 2:0 | 2:1 | Payout
2026-08-02 | 瑞典超级联赛 | 周日008 | 索尔纳 vs 厄格里特 | 0:2 | 0:3 | Payout
2026-08-02 | 芬兰超级联赛 | 周日007 | AC奥卢 vs 坦山猫 | 0:0 | 1:0 | Payout
2026-08-02 | 芬兰超级联赛 | 周日006 | 瓦萨 vs 国际图尔 | 0:1 | 0:1 | Payout
2026-08-02 | 瑞典超级联赛 | 周日005 | 哥德堡 vs 代格福什 | 1:0 | 2:0 | Payout
2026-08-02 | 瑞典超级联赛 | 周日004 | 布鲁马波 vs 马尔默 | 0:0 | 1:2 | Payout
2026-08-02 | 韩国职业联赛 | 周日003 | 大田市民 vs 光州FC | 0:0 | 2:0 | Payout
2026-08-02 | 韩国职业联赛 | 周日002 | 济州SK vs 仁川联 | 2:2 | 3:3 | Payout
2026-08-02 | 韩国职业联赛 | 周日001 | 蔚山现代 vs 安养FC | 0:0 | 3:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六016 | 波特兰 vs 西雅图 | 1:1 | 2:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六015 | 洛城银河 vs 达拉斯 | 0:0 | 0:0 | Payout
2026-08-02 | 美国职业大联盟 | 周六014 | 圣路易城 vs 盐湖城 | 0:0 | 1:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六013 | 芝加哥 vs 夏洛特FC | 1:1 | 2:1 | Payout
2026-08-02 | 巴西杯 | 周六012 | 桑托斯 vs 里莫 | 0:0 | 0:0 | Payout
2026-08-02 | 美国职业大联盟 | 周六011 | 温哥华 vs 洛杉矶FC | 0:1 | 1:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六010 | 迈国际 vs 哥伦布 | 2:1 | 2:2 | Payout
2026-08-02 | 芬兰超级联赛 | 周六009 | 赫尔火花 vs 库奥皮奥 | 0:1 | 0:1 | Payout
2026-08-02 | 挪威超级联赛 | 周六008 | 斯达 vs 维京 | 0:3 | 0:3 | Payout
2026-08-01 | 芬兰超级联赛 | 周六007 | 拉赫蒂 vs 雅罗 | 1:0 | 2:0 | Payout
2026-08-01 | 挪威超级联赛 | 周六006 | 腓特烈 vs 桑纳菲 | 1:0 | 1:0 | Payout
2026-08-01 | 瑞典超级联赛 | 周六005 | 赫根 vs 卡尔马 | 1:1 | 1:1 | Payout
2026-08-01 | 芬兰超级联赛 | 周六004 | TPS图尔 vs 玛丽港 | 2:0 | 3:0 | Payout
2026-08-01 | 韩国职业联赛 | 周六003 | 浦项制铁 vs 金泉尚武 | 0:0 | 0:1 | Payout
2026-08-01 | 韩国职业联赛 | 周六002 | 全北现代 vs 首尔FC | 0:0 | 0:0 | Payout
2026-08-01 | 韩国职业联赛 | 周六001 | 江原FC vs 富川FC | 0:1 | 0:3 | Payout
2026-08-01 | 美国职业大联盟 | 周五003 | 纽约城 vs 多伦多 | 1:1 | 1:1 | Payout
2026-08-01 | 挪威超级联赛 | 周五002 | 博德闪耀 vs 利勒斯特 | 2:0 | 4:0 | Payout
2026-08-01 | 挪威超级联赛 | 周五001 | 瓦勒伦加 vs 汉坎 | 0:1 | 0:3 | Payout
2026-08-04 | 瑞典超级联赛 | 周一003 | 佐加顿斯 vs 韦斯特罗 | 3:0 | 6:0 | Payout
2026-08-04 | 瑞典超级联赛 | 周一002 | 哈尔姆斯 vs 天狼星 | 0:2 | 0:2 | Payout
2026-08-04 | 芬兰超级联赛 | 周一001 | 塞伊奈 vs 赫尔辛基 | 0:0 | 3:0 | Payout
2026-08-03 | 巴西杯 | 周日014 | 巴西国际 vs 科林蒂安 | 0:0 | 2:0 | Payout
2026-08-03 | 巴西杯 | 周日013 | 米拉索尔 vs 格雷米奥 | 1:0 | 1:1 | Payout
2026-08-03 | 挪威超级联赛 | 周日012 | 布兰 vs 罗森博格 | 1:0 | 3:2 | Payout
2026-08-02 | 挪威超级联赛 | 周日011 | 奥勒松 vs 特罗姆瑟 | 1:1 | 2:6 | Payout
2026-08-02 | 挪威超级联赛 | 周日010 | 莫尔德 vs 萨普斯堡 | 1:1 | 3:3 | Payout
2026-08-02 | 挪威超级联赛 | 周日009 | 奥斯KFUM vs 克里斯蒂 | 2:0 | 2:1 | Payout
2026-08-02 | 瑞典超级联赛 | 周日008 | 索尔纳 vs 厄格里特 | 0:2 | 0:3 | Payout
2026-08-02 | 芬兰超级联赛 | 周日007 | AC奥卢 vs 坦山猫 | 0:0 | 1:0 | Payout
2026-08-02 | 芬兰超级联赛 | 周日006 | 瓦萨 vs 国际图尔 | 0:1 | 0:1 | Payout
2026-08-02 | 瑞典超级联赛 | 周日005 | 哥德堡 vs 代格福什 | 1:0 | 2:0 | Payout
2026-08-02 | 瑞典超级联赛 | 周日004 | 布鲁马波 vs 马尔默 | 0:0 | 1:2 | Payout
2026-08-02 | 韩国职业联赛 | 周日003 | 大田市民 vs 光州FC | 0:0 | 2:0 | Payout
2026-08-02 | 韩国职业联赛 | 周日002 | 济州SK vs 仁川联 | 2:2 | 3:3 | Payout
2026-08-02 | 韩国职业联赛 | 周日001 | 蔚山现代 vs 安养FC | 0:0 | 3:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六016 | 波特兰 vs 西雅图 | 1:1 | 2:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六015 | 洛城银河 vs 达拉斯 | 0:0 | 0:0 | Payout
2026-08-02 | 美国职业大联盟 | 周六014 | 圣路易城 vs 盐湖城 | 0:0 | 1:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六013 | 芝加哥 vs 夏洛特FC | 1:1 | 2:1 | Payout
2026-08-02 | 巴西杯 | 周六012 | 桑托斯 vs 里莫 | 0:0 | 0:0 | Payout
2026-08-02 | 美国职业大联盟 | 周六011 | 温哥华 vs 洛杉矶FC | 0:1 | 1:1 | Payout
2026-08-02 | 美国职业大联盟 | 周六010 | 迈国际 vs 哥伦布 | 2:1 | 2:2 | Payout
2026-08-02 | 芬兰超级联赛 | 周六009 | 赫尔火花 vs 库奥皮奥 | 0:1 | 0:1 | Payout
2026-08-02 | 挪威超级联赛 | 周六008 | 斯达 vs 维京 | 0:3 | 0:3 | Payout
2026-08-01 | 芬兰超级联赛 | 周六007 | 拉赫蒂 vs 雅罗 | 1:0 | 2:0 | Payout
2026-08-01 | 挪威超级联赛 | 周六006 | 腓特烈 vs 桑纳菲 | 1:0 | 1:0 | Payout
2026-08-01 | 瑞典超级联赛 | 周六005 | 赫根 vs 卡尔马 | 1:1 | 1:1 | Payout
2026-08-01 | 芬兰超级联赛 | 周六004 | TPS图尔 vs 玛丽港 | 2:0 | 3:0 | Payout
2026-08-01 | 韩国职业联赛 | 周六003 | 浦项制铁 vs 金泉尚武 | 0:0 | 0:1 | Payout
2026-08-01 | 韩国职业联赛 | 周六002 | 全北现代 vs 首尔FC | 0:0 | 0:0 | Payout
2026-08-01 | 韩国职业联赛 | 周六001 | 江原FC vs 富川FC | 0:1 | 0:3 | Payout
2026-08-01 | 美国职业大联盟 | 周五003 | 纽约城 vs 多伦多 | 1:1 | 1:1 | Payout
2026-08-01 | 挪威超级联赛 | 周五002 | 博德闪耀 vs 利勒斯特 | 2:0 | 4:0 | Payout
2026-08-01 | 挪威超级联赛 | 周五001 | 瓦勒伦加 vs 汉坎 | 0:1 | 0:3 | Payout
