date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit
2026-08-02,002,韩职,lg-k1,,1.76,1.72,13.0,11.0,,,,,,,,,,,,,0.040000000000000036,2.0,,,,,3-3（2-2）,平,平平,6,3,3,2.0,2.0,no,no,ok,
2026-08-02,003,韩职,lg-k1,,2.08,0.67,17.0,8.0,,,,,,,,,,,,,1.4100000000000001,9.0,,,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,ok,ok,
2026-08-02,004,瑞超,lg-swe,,1.89,2.18,14.0,18.0,,,,,,,,,,,,,-0.29000000000000026,-4.0,,,,,1-2（0-0）,客胜,平负,3,1,2,0.0,0.0,ok,ok,ok,
2026-08-02,005,瑞超,lg-swe,,2.58,1.16,20.0,11.0,6.0,4.0,,,,,,,,,,,1.4200000000000002,9.0,2.0,,,,2-0（1-0）,主胜,胜胜,2,2,0,1.0,0.0,ok,ok,ok,
2026-08-02,006,芬超,lg-fin,,,,19.0,13.0,4.0,4.0,,,,,,,,,,,,6.0,0.0,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
2026-08-02,007,芬超,lg-fin,,,,9.0,16.0,4.0,2.0,,,,,,,,,,,,-7.0,2.0,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,ok,ok,ok,
2026-08-02,008,瑞超,lg-swe,,0.97,2.25,14.0,13.0,1.0,7.0,,,,,,,,,,,-1.28,1.0,-6.0,,,,0-3（0-2）,客胜,负负,3,0,3,0.0,2.0,no,no,no,
2026-08-02,009,挪超,lg-nor,,1.4,1.38,14.0,16.0,,,,,,,,,,,,,0.020000000000000018,-2.0,,,,,2-1（2-0）,主胜,胜胜,3,2,1,2.0,0.0,ok,no,ok,
2026-08-02,010,挪超,lg-nor,,1.83,1.46,19.0,14.0,,,,,,,,,,,,,0.3700000000000001,5.0,,,,,3-3（1-1）,平,平平,6,3,3,1.0,1.0,ok,no,ok,
2026-08-02,011,挪超,lg-nor,,2.98,2.77,24.0,11.0,,,,,,,,,,,,,0.20999999999999996,13.0,,,,,2-6（1-1）,客胜,平负,8,2,6,1.0,1.0,no,no,ok,
2026-08-02,015,挪超,lg-nor,,2.51,1.58,26.0,12.0,,,,,,,,,,,,,0.9299999999999997,14.0,,,,,0-3（0-3）,客胜,负负,3,0,3,0.0,3.0,ok,ok,ok,
2026-08-02,016,芬超,lg-fin,,,,18.0,12.0,8.0,7.0,,,,,,,,,,,,6.0,1.0,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,
2026-08-02,017,美职联,lg-mls,,1.61,1.07,12.0,13.0,,,,,,,,,,,,,0.54,-1.0,,,,,2-2（2-1）,平,胜平,4,2,2,2.0,1.0,ok,no,no,
2026-08-02,018,美职联,lg-mls,,2.51,0.3,21.0,5.0,,,,,,,,,,,,,2.21,16.0,,,,,1-1（0-1）,平,负平,2,1,1,0.0,1.0,ok,ok,no,
2026-08-02,019,巴西杯,lg-bras,,,,20.0,6.0,4.0,3.0,,,,,,,,,,,,14.0,1.0,,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,no,no,ok,
2026-08-02,020,美职联,lg-mls,,0.94,0.78,14.0,14.0,,,,,,,,,,,,,0.15999999999999992,0.0,,,,,2-1（1-1）,主胜,平胜,3,2,1,1.0,1.0,ok,ok,ok,
