date,no,league,lgc,lam,xg_h,xg_a,shot_h,shot_a,sot_h,sot_a,cor_h,cor_a,big_h,big_a,inj_h,inj_a,temp,rain,rank_gap,h2h_edge,xg_diff,shot_diff,sot_diff,cor_diff,big_diff,inj_diff,act,act_dir,act_htft,act_balls,act_h,act_a,act_hh,act_ha,v11_dir_hit,v11_score_hit,v11_ht_hit,v11_ou_hit,hm_n_h,hm_fh_sc_h,hm_fh_cc_h,hm_ht_lead_h,hm_ht_trail_h,hm_first_min_h,hm_fh_share_h,hm_n_a,hm_fh_sc_a,hm_fh_cc_a,hm_ht_lead_a,hm_ht_trail_a,hm_first_min_a,hm_fh_share_a,hm_fh_sc_diff,hm_fh_cc_diff,hm_ht_lead_diff,hm_ht_trail_diff,hm_first_min_diff,hm_fh_share_diff,lam_h,lam_a,rain_p,h2h_wr,form5_w,form5_d,form5_l,form_gf,form_ga,lam_sum
2026-08-01,001,挪超,lg-nor,,0.67,1.68,14.0,14.0,5.0,7.0,3.0,3.0,,,,,,,,,-1.0099999999999998,0.0,-2.0,0.0,,,0-3（0-1）,客胜,负负,3,0,3,0.0,1.0,no,no,no,,1,3.0,0.0,1.0,0.0,4.0,1.0,2,0.0,1.0,0.0,1.0,26.5,,3.0,-1.0,1.0,-1.0,-22.5,,,,,,,,,,,
2026-08-01,002,挪超,lg-nor,,2.31,0.47,13.0,7.0,7.0,1.0,10.0,2.0,,,,,,,,,1.84,6.0,6.0,8.0,,,4-0（2-0）,主胜,胜胜,4,4,0,2.0,0.0,ok,no,ok,,2,1.5,0.0,1.0,0.0,13.0,0.5,1,0.0,1.0,0.0,1.0,31.0,0.0,1.5,-1.0,1.0,-1.0,-18.0,0.5,,,,,,,,,,
2026-08-01,003,美职联,lg-mls,,2.21,1.16,16.0,13.0,5.0,5.0,3.0,2.0,,,,,,,,,1.05,3.0,0.0,1.0,,,1-1（1-1）,平,平平,2,1,1,1.0,1.0,no,no,ok,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,004,韩职,lg-k1,,1.2,1.69,14.0,10.0,3.0,5.0,6.0,5.0,,,,,,,,,-0.49,4.0,-2.0,1.0,,,0-3（0-1）,客胜,负负,3,0,3,0.0,1.0,no,no,no,,1,1.0,1.0,0.0,0.0,21.0,1.0,1,1.0,1.0,0.0,0.0,20.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,,,,
2026-08-01,005,韩职,lg-k1,,0.74,0.29,14.0,7.0,5.0,2.0,4.0,5.0,,,,,,,,,0.45,7.0,3.0,-1.0,,,0-0（0-0）,平,平平,0,0,0,0.0,0.0,ok,no,ok,,2,1.0,0.0,0.0,0.0,3.0,1.0,1,1.0,0.0,1.0,0.0,37.0,0.333,0.0,0.0,-1.0,0.0,-34.0,0.667,,,,,,,,,,
2026-08-01,006,韩职,lg-k1,,0.45,0.95,9.0,9.0,2.0,6.0,3.0,7.0,,,,,,,,,-0.4999999999999999,0.0,-4.0,-4.0,,,0-1（0-0）,客胜,平负,1,0,1,0.0,0.0,ok,ok,ok,,2,0.0,1.5,0.0,0.5,20.0,0.0,2,2.5,1.0,0.0,0.0,4.5,1.0,-2.5,0.5,0.0,0.5,15.5,-1.0,,,,,,,,,,
2026-08-01,007,芬超,lg-fin,,,,11.0,18.0,4.0,1.0,5.0,4.0,,,,,,,,,,-7.0,3.0,1.0,,,3-0（2-0）,主胜,胜胜,3,3,0,2.0,0.0,ok,ok,ok,,1,0.0,1.0,0.0,1.0,16.0,,1,1.0,0.0,1.0,0.0,15.0,0.5,-1.0,1.0,-1.0,1.0,1.0,,,,,,,,,,,
2026-08-01,008,瑞超,lg-swe,,0.73,1.76,10.0,12.0,1.0,6.0,5.0,6.0,,,,,,,,,-1.03,-2.0,-5.0,-1.0,,,1-1（1-1）,平,平平,2,1,1,1.0,1.0,no,no,ok,,1,0.0,0.0,0.0,0.0,,,1,1.0,1.0,0.0,0.0,3.0,0.5,-1.0,-1.0,0.0,0.0,,,,,,,,,,,,
2026-08-01,009,挪超,lg-nor,,1.5,1.15,16.0,15.0,5.0,2.0,6.0,5.0,,,,,,,,,0.3500000000000001,1.0,3.0,1.0,,,1-0（1-0）,主胜,胜胜,1,1,0,1.0,0.0,ok,ok,ok,,1,0.0,2.0,0.0,1.0,10.0,,0,,,,,,,,,,,,,,,,,,,,,,
2026-08-01,010,芬超,lg-fin,,,,17.0,12.0,5.0,1.0,2.0,3.0,,,,,,,,,,5.0,4.0,-1.0,,,2-0（1-0）,主胜,胜胜,2,2,0,1.0,0.0,ok,ok,ok,,1,0.0,1.0,0.0,1.0,38.0,,1,1.0,0.0,1.0,0.0,32.0,0.5,-1.0,1.0,-1.0,1.0,6.0,,,,,,,,,,,
2026-08-02,001,韩职,lg-k1,,2.23,1.5,12.0,8.0,,,,,,,,,,,,,0.73,4.0,,,,,3-1（0-0）,主胜,平胜,4,3,1,0.0,0.0,ok,no,ok,,0,,,,,,,1,1.0,1.0,0.0,0.0,20.0,0.333,,,,,,,,,,,,,,,,
2026-08-02,002,韩职,lg-k1,,1.76,1.72,13.0,11.0,,,,,,,,,,,,0.2,0.04,2.0,,,,,3-3（2-2）,平,平平,6,3,3,2.0,2.0,no,no,ok,,1,1.0,1.0,0.0,0.0,21.0,1.0,1,2.0,1.0,0.0,0.0,3.0,1.0,-1.0,0.0,0.0,0.0,18.0,0.0,,,,0.4,2.0,2.0,1.0,,,
2026-08-02,003,韩职,lg-k1,,2.08,0.67,17.0,8.0,,,,,,,,,,,,,1.41,9.0,,,,,2-0（0-0）,主胜,平胜,2,2,0,0.0,0.0,ok,ok,ok,,2,0.5,2.0,0.0,0.0,4.0,0.5,1,1.0,1.0,0.0,0.0,5.0,1.0,-0.5,1.0,0.0,0.0,-1.0,-0.5,,,,,,,,,,
2026-08-02,004,瑞超,lg-swe,,1.89,2.18,14.0,18.0,,,,,,,,,,,,,-0.2900000000000002,-4.0,,,,,1-2（0-0）,客胜,平负,3,1,2,0.0,0.0,ok,ok,ok,,0,,,,,,,1,1.0,2.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,
2026-08-02,005,瑞超,lg-swe,,2.58,1.16,20.0,11.0,6.0,4.0,,,,,,,,,6.0,,1.4200000000000002,9.0,2.0,,,,2-0（1-0）,主胜,胜胜,2,2,0,1.0,0.0,ok,ok,ok,,1,1.0,2.0,0.0,1.0,6.0,1.0,1,0.0,1.0,0.0,1.0,43.0,,1.0,1.0,0.0,0.0,-37.0,,1.13,0.95,,,,,,,,2.08
2026-08-02,006,芬超,lg-fin,,,,19.0,13.0,4.0,4.0,,,,,,,,,,,,6.0,0.0,,,,0-1（0-1）,客胜,负负,1,0,1,0.0,1.0,ok,ok,ok,,1,0.0,3.0,0.0,1.0,1.0,0.0,1,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,,,,,,,,,,
2026-08-02,007,芬超,lg-fin,,,,9.0,16.0,4.0,2.0,,,,,,,,,,,,-7.0,2.0,,,,1-0（0-0）,主胜,平胜,1,1,0,0.0,0.0,ok,ok,ok,,0,,,,,,,1,1.0,0.0,1.0,0.0,38.0,1.0,,,,,,,,,,,,,,,,
2026-08-02,008,瑞超,lg-swe,,0.97,2.25,14.0,13.0,1.0,7.0,,,,,,,,,,,-1.28,1.0,-6.0,,,,0-3（0-2）,客胜,负负,3,0,3,0.0,2.0,no,no,no,,1,0.0,0.0,0.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,
